name,description,stars,language,forks,url,created_at,updated_at
atom-material/atom-material-ui,A dynamic UI theme for Atom that follows Google's Material Design Guidelines,817,CSS,204,https://github.com/atom-material/atom-material-ui,2015-06-19 19:42:18+00:00,2024-09-10 19:44:21+00:00
flatlogic/react-material-admin,☄️React Material Admin is a React template built with Material-UI,1591,JavaScript,558,https://github.com/flatlogic/react-material-admin,2019-04-24 12:47:06+00:00,2024-09-08 14:49:40+00:00
Yuvaleros/material-ui-dropzone,A Material-UI file upload dropzone ,485,JavaScript,245,https://github.com/Yuvaleros/material-ui-dropzone,2017-10-16 11:50:16+00:00,2024-08-29 11:20:36+00:00
Learus/react-material-ui-carousel,A Generic carousel UI component for React using Material UI.,550,TypeScript,219,https://github.com/Learus/react-material-ui-carousel,2019-10-13 19:15:08+00:00,2024-09-11 08:02:47+00:00
creativetimofficial/vue-material-kit,Vue Material Kit - Open Source Material Design UI Kit,374,CSS,605,https://github.com/creativetimofficial/vue-material-kit,2018-09-03 09:32:17+00:00,2024-09-11 07:19:28+00:00
erikras/redux-form-material-ui,A set of wrapper components to facilitate using Material UI with Redux Form,831,JavaScript,228,https://github.com/erikras/redux-form-material-ui,2016-05-23 23:25:32+00:00,2024-07-11 14:40:08+00:00
zdhxiong/mdui,Material Design 3(Material You) UI components using Web Components.,4111,TypeScript,358,https://github.com/zdhxiong/mdui,2016-07-11 17:39:02+00:00,2024-09-14 13:06:38+00:00
TeamWertarbyte/material-ui-chip-input,A chip input field using Material-UI.,739,JavaScript,209,https://github.com/TeamWertarbyte/material-ui-chip-input,2016-09-07 16:47:10+00:00,2024-06-18 09:38:35+00:00
iamshaunjp/material-ui-tut,,236,HTML,237,https://github.com/iamshaunjp/material-ui-tut,2021-02-13 15:30:16+00:00,2024-09-03 10:22:16+00:00
formsy/formsy-material-ui,A Formsy compatibility wrapper for Material-UI form components,571,TypeScript,149,https://github.com/formsy/formsy-material-ui,2015-10-10 09:46:49+00:00,2024-04-02 18:58:21+00:00
material-components/material-components-flutter,Modular and customizable Material Design UI components for Flutter,895,Dart,184,https://github.com/material-components/material-components-flutter,2018-02-26 23:36:41+00:00,2024-09-05 21:38:51+00:00
react-theming/storybook-addon-material-ui,Addon for storybook wich wrap material-ui components into MuiThemeProvider. :page_with_curl: This helps and simplifies development of material-ui based components.,566,JavaScript,131,https://github.com/react-theming/storybook-addon-material-ui,2016-09-13 08:30:16+00:00,2024-02-19 16:51:16+00:00
KevinVandy/material-react-table,"A fully featured Material UI V5 implementation of TanStack React Table V8, written from the ground up in TypeScript",1469,TypeScript,421,https://github.com/KevinVandy/material-react-table,2022-01-05 02:33:38+00:00,2024-09-13 21:10:46+00:00
KeepSafe/TapTargetView,An implementation of tap targets from the Material Design guidelines for feature discovery.,5367,Java,587,https://github.com/KeepSafe/TapTargetView,2016-09-11 09:07:36+00:00,2024-09-14 00:00:10+00:00
skotlex/ffxiv-material-ui,Material UI mod for FFXIV,876,,77,https://github.com/skotlex/ffxiv-material-ui,2019-07-04 19:59:22+00:00,2024-09-13 15:41:55+00:00
turing-tech/MaterialScrollBar,An Android library that brings the Material Design 5.1 sidebar to pre-5.1 devices.,781,Java,126,https://github.com/turing-tech/MaterialScrollBar,2015-08-20 04:03:20+00:00,2024-07-31 18:18:59+00:00
rafaelhz/react-material-admin-template,A simple responsive admin template using react and material-ui,633,JavaScript,269,https://github.com/rafaelhz/react-material-admin-template,2016-09-10 12:07:40+00:00,2024-07-01 04:52:05+00:00
atarw/material-ui-swing,"A modern, Material Design UI for Java Swing",653,Java,86,https://github.com/atarw/material-ui-swing,2016-07-23 05:16:10+00:00,2024-09-10 19:51:53+00:00
Teradata/covalent,Teradata UI Platform built on Angular Material,2226,TypeScript,358,https://github.com/Teradata/covalent,2016-07-11 23:30:52+00:00,2024-09-10 17:37:11+00:00
esnaultdev/MaterialValues,An Android library for material design values,739,,39,https://github.com/esnaultdev/MaterialValues,2016-10-09 14:48:19+00:00,2024-04-12 15:57:50+00:00
creativetimofficial/soft-ui-dashboard-react,Soft UI Dashboard React - Free Dashboard using React and Material UI,272,JavaScript,782,https://github.com/creativetimofficial/soft-ui-dashboard-react,2021-09-01 08:28:44+00:00,2024-09-13 01:51:25+00:00
JosephusPaye/Keen-UI,"A lightweight Vue.js UI library with a simple API, inspired by Google's Material Design.",4102,JavaScript,439,https://github.com/JosephusPaye/Keen-UI,2016-03-22 01:23:20+00:00,2024-09-15 07:25:55+00:00
alexanmtz/material-sense,"A React Material UI template to create rich applications with wizards, charts and ranges",795,JavaScript,210,https://github.com/alexanmtz/material-sense,2019-01-01 20:50:57+00:00,2024-09-10 15:02:15+00:00
jason-liu22/netflix-clone-react-typescript,"Netflix Clone using React, Typescript, Material UI",219,TypeScript,835,https://github.com/jason-liu22/netflix-clone-react-typescript,2022-08-17 19:19:53+00:00,2024-09-07 15:24:04+00:00
OnsenUI/OnsenUI,"Mobile app development framework and SDK using HTML5 and JavaScript. Create beautiful and performant cross-platform mobile apps. Based on Web Components, and provides bindings for Angular 1, 2, React and Vue.js.",8820,JavaScript,1013,https://github.com/OnsenUI/OnsenUI,2013-09-11 11:52:41+00:00,2024-09-12 03:33:58+00:00
alexplumb/material-ui-phone-number,Fork of react-phone-input-2 for the Material-UI library,121,JavaScript,180,https://github.com/alexplumb/material-ui-phone-number,2018-09-06 12:29:54+00:00,2024-07-18 11:27:50+00:00
Sharlaan/material-ui-superselectfield,multiselection autocomplete dropdown component for Material-UI,266,JavaScript,92,https://github.com/Sharlaan/material-ui-superselectfield,2016-10-28 16:37:26+00:00,2024-04-22 10:45:23+00:00
DevExpress/devextreme-reactive,Business React components for Bootstrap and Material-UI,2076,TypeScript,381,https://github.com/DevExpress/devextreme-reactive,2017-03-17 07:10:12+00:00,2024-09-13 10:56:20+00:00
atom-material/atom-material-syntax,A syntax theme for Atom Material UI,252,CSS,143,https://github.com/atom-material/atom-material-syntax,2015-06-19 21:00:29+00:00,2024-09-10 23:59:31+00:00
Ramotion/paper-onboarding,:octocat: PaperOnboarding is a material design UI slider. Swift UI library by @Ramotion,3323,Swift,337,https://github.com/Ramotion/paper-onboarding,2016-04-25 09:30:38+00:00,2024-09-07 09:27:49+00:00
RikkaW/MaterialPreference,Material Design Preference UI,308,Java,32,https://github.com/RikkaW/MaterialPreference,2016-03-07 08:10:36+00:00,2024-08-02 07:39:30+00:00
ShapeLab/SwarmUI,Necessary material to build and use Zooids to create Swarm User Interfaces,1530,C++,245,https://github.com/ShapeLab/SwarmUI,2016-07-20 23:21:47+00:00,2024-09-15 02:09:20+00:00
mdbootstrap/mdb-react-ui-kit,React 18 & Bootstrap 5 & Material Design 2.0 UI KIT,1413,TypeScript,262,https://github.com/mdbootstrap/mdb-react-ui-kit,2017-09-07 07:45:20+00:00,2024-08-22 19:50:16+00:00
mdbootstrap/mdb-angular-ui-kit,Angular 16 & Bootstrap 5 & Material Design 2.0 UI KIT,1123,SCSS,280,https://github.com/mdbootstrap/mdb-angular-ui-kit,2017-06-23 10:29:45+00:00,2024-09-13 19:28:19+00:00
nativescript-community/ui-material-components,Monorepo that contains all of the NativeScript Material Design plugins.,215,TypeScript,80,https://github.com/nativescript-community/ui-material-components,2018-07-16 07:30:07+00:00,2024-09-11 10:19:57+00:00
mui/material-ui-docs,"⚠️ Please don't submit PRs here as they will be closed. To edit the docs or source code, please use the main repository:",320,TypeScript,62,https://github.com/mui/material-ui-docs,2018-04-06 21:51:59+00:00,2024-09-15 05:42:59+00:00
afollestad/material-cab,🚕 An Android & Kotlin library for placing and manipulating Contextual Action Bars in your UI.,981,Kotlin,103,https://github.com/afollestad/material-cab,2015-05-04 19:57:22+00:00,2024-09-10 15:02:49+00:00
jonatanklosko/material-ui-confirm,Simple confirmation dialogs built on top of @mui/material and straightforward to use thanks to React Hooks,335,JavaScript,58,https://github.com/jonatanklosko/material-ui-confirm,2019-05-16 23:03:55+00:00,2024-07-31 05:14:21+00:00
takanabe/react-redux-material_ui-boilerplate,A boilerplate for React + Redux + Material UI + ES6 syntax application,326,JavaScript,100,https://github.com/takanabe/react-redux-material_ui-boilerplate,2015-10-16 06:06:51+00:00,2024-06-23 01:53:25+00:00
devmahmud/material-ui-portfolio,Personal Portfolio Web Application using React & Material UI,193,JavaScript,72,https://github.com/devmahmud/material-ui-portfolio,2020-06-29 08:46:19+00:00,2024-08-29 11:51:38+00:00
TeamWertarbyte/material-ui-search-bar,Material design search bar,260,JavaScript,82,https://github.com/TeamWertarbyte/material-ui-search-bar,2017-05-25 13:46:04+00:00,2024-04-11 20:41:21+00:00
daylerees/material-peacock,Peacock colour scheme optimized for the Material UI PHPStorm theme.,573,,84,https://github.com/daylerees/material-peacock,2016-01-24 13:14:40+00:00,2024-08-15 17:31:24+00:00
Droid-ify/client,F-Droid client with Material UI. ,3614,Kotlin,80,https://github.com/Droid-ify/client,2022-07-04 12:03:15+00:00,2024-09-15 06:46:02+00:00
TheComputerM/svelte-materialify,A Material UI Design Component library for Svelte heavily inspired by vuetify.,622,Svelte,84,https://github.com/TheComputerM/svelte-materialify,2020-07-02 18:53:20+00:00,2024-09-02 04:16:06+00:00
mdbootstrap/mdb-vue-ui-kit,Vue 3 & Bootstrap 5 & Material Design 2.0 UI KIT,960,SCSS,192,https://github.com/mdbootstrap/mdb-vue-ui-kit,2017-11-23 08:38:21+00:00,2024-09-10 03:40:41+00:00
NewOldMax/react-material-ui-form-validator,Simple validator for forms designed with material-ui components.,324,JavaScript,80,https://github.com/NewOldMax/react-material-ui-form-validator,2017-02-23 11:17:52+00:00,2024-09-11 13:45:30+00:00
unicef/material-ui-currency-textfield,Currency textfield for React Material UI ,116,JavaScript,94,https://github.com/unicef/material-ui-currency-textfield,2019-08-20 19:39:47+00:00,2024-09-01 17:20:44+00:00
PacktPublishing/React-Material-UI-Cookbook,"React Material-UI Cookbook, published by Packt",129,JavaScript,86,https://github.com/PacktPublishing/React-Material-UI-Cookbook,2018-07-30 04:25:34+00:00,2024-08-13 02:54:26+00:00
hyojin/material-ui-datatables,An another React Data tables component.,165,JavaScript,58,https://github.com/hyojin/material-ui-datatables,2016-11-08 08:36:28+00:00,2023-12-20 10:13:47+00:00
Suleiman19/Android-Material-Design-for-pre-Lollipop,"Various UI implementations, animations & effects  based on Material Design compatible with pre Lollipop devices as well. (Work in progess)",579,Java,331,https://github.com/Suleiman19/Android-Material-Design-for-pre-Lollipop,2015-04-30 12:53:57+00:00,2024-09-02 22:06:05+00:00
stackworx/formik-mui,Bindings for using Formik with Material-UI,970,TypeScript,143,https://github.com/stackworx/formik-mui,2018-02-18 12:13:57+00:00,2024-09-10 22:31:14+00:00
AnthonyNahas/ngx-auth-firebaseui,Angular Material UI component for firebase authentication,588,TypeScript,165,https://github.com/AnthonyNahas/ngx-auth-firebaseui,2017-12-29 22:47:31+00:00,2024-09-13 19:30:20+00:00
codypearce/material-bread,Cross Platform React Native Material Design Components,322,JavaScript,119,https://github.com/codypearce/material-bread,2019-02-26 01:39:54+00:00,2024-06-10 19:27:39+00:00
codedthemes/berry-free-react-admin-template,Berry free react material-ui admin template for easing and faster web development.,1822,JavaScript,894,https://github.com/codedthemes/berry-free-react-admin-template,2021-05-02 05:32:38+00:00,2024-09-14 02:46:37+00:00
skclusive/Skclusive.Material.Component,Port of Material-UI in C# for Blazor,397,C#,55,https://github.com/skclusive/Skclusive.Material.Component,2019-12-16 19:04:47+00:00,2024-08-03 00:57:00+00:00
niuware/mui-rte,Material-UI Rich Text Editor and Viewer,433,TypeScript,168,https://github.com/niuware/mui-rte,2019-06-13 07:22:48+00:00,2024-09-09 09:15:05+00:00
TeamWertarbyte/material-ui-image,Material style image with loading animation,214,JavaScript,40,https://github.com/TeamWertarbyte/material-ui-image,2016-10-15 14:04:50+00:00,2024-07-27 07:41:14+00:00
matyunya/smelte,UI framework with material components built with Svelte and Tailwind CSS,1528,Svelte,114,https://github.com/matyunya/smelte,2019-06-27 07:11:19+00:00,2024-08-31 15:39:05+00:00
xotahal/react-native-material-ui-demo-app,Demo app for react-native-material-ui lib,150,JavaScript,88,https://github.com/xotahal/react-native-material-ui-demo-app,2016-03-27 19:26:22+00:00,2023-12-05 14:06:49+00:00
qiujuer/Genius-Android,Android Material Design Theme UI and Tool Library. Support: 4.0.3~O,2302,Java,576,https://github.com/qiujuer/Genius-Android,2014-07-10 08:32:51+00:00,2024-08-17 13:49:35+00:00
vincenzopalazzo/material-ui-swing,:octocat: :hearts: A modern Material Design UI for Java Swing :octocat: :hearts:,317,Java,28,https://github.com/vincenzopalazzo/material-ui-swing,2018-07-22 22:34:57+00:00,2024-09-09 19:23:38+00:00
kobakei/MaterialFabSpeedDial,Android UI library of FAB speed dial,191,Kotlin,27,https://github.com/kobakei/MaterialFabSpeedDial,2017-06-12 09:06:04+00:00,2024-05-14 04:34:04+00:00
uilibrary/matx-react,Matx -Free and open-source  React Material UI  Admin Dashboard Template,921,JavaScript,385,https://github.com/uilibrary/matx-react,2020-01-16 10:56:54+00:00,2024-09-11 07:47:47+00:00
dunky11/react-saas-template,🌊   Template for building an SaaS / admin website using React + Material-UI,1884,JavaScript,415,https://github.com/dunky11/react-saas-template,2020-01-30 23:38:23+00:00,2024-09-07 08:49:58+00:00
Ramotion/expanding-collection,:octocat: ExpandingCollection is an animated material design UI card peek/pop controller. iOS library made by @Ramotion,5549,Swift,530,https://github.com/Ramotion/expanding-collection,2016-05-25 08:01:40+00:00,2024-09-10 15:01:51+00:00
RoyTimes/materialize_blog,Blog system based on React.js & Material-UI,196,JavaScript,45,https://github.com/RoyTimes/materialize_blog,2016-01-21 20:22:51+00:00,2024-03-18 02:39:27+00:00
jcoreio/material-ui-popup-state,"boilerplate for common Material-UI Menu, Popover and Popper use cases",446,TypeScript,28,https://github.com/jcoreio/material-ui-popup-state,2018-08-06 14:50:07+00:00,2024-09-08 16:48:22+00:00
primefaces/primereact,The Most Complete React UI Component Library,6606,CSS,999,https://github.com/primefaces/primereact,2016-12-16 15:56:27+00:00,2024-09-15 13:16:24+00:00
madvas/cljs-react-material-ui,Clojurescript library for using material-ui.com,205,Clojure,32,https://github.com/madvas/cljs-react-material-ui,2016-04-20 13:59:35+00:00,2024-01-03 17:35:39+00:00
mikbry/material-ui-color,"The lightest colorpicker, palette, colorinput, colorbutton ⚡ No dependencies. It uses React hooks, support Typescript theming and more !",143,JavaScript,34,https://github.com/mikbry/material-ui-color,2020-02-25 18:18:40+00:00,2024-08-11 02:06:22+00:00
goemen/react-material-ui-typescript,"This is a boilerplate for React using Typescript, Material UI and Redux, React Router.",128,TypeScript,44,https://github.com/goemen/react-material-ui-typescript,2018-05-29 22:46:53+00:00,2024-07-29 13:48:27+00:00
lookfirst/mui-rff,MUI 5 / Material UI + React Final Form,485,TypeScript,92,https://github.com/lookfirst/mui-rff,2019-10-17 15:23:47+00:00,2024-09-12 20:50:55+00:00
StratoDem/sd-material-ui,material-ui components for Dash,194,Python,27,https://github.com/StratoDem/sd-material-ui,2017-12-02 15:25:33+00:00,2024-08-07 23:25:45+00:00
adrianhajdin/project_youtube_clone,Build and Deploy a Modern YouTube Clone Application in React JS with Material UI 5,1377,JavaScript,984,https://github.com/adrianhajdin/project_youtube_clone,2022-08-02 22:42:13+00:00,2024-09-12 23:38:57+00:00
bradtraversy/react_step_form,Multi step form built with React and Material UI,302,JavaScript,221,https://github.com/bradtraversy/react_step_form,2018-11-05 16:02:01+00:00,2024-07-18 06:42:23+00:00
richzertuche/ZMaterialDesignUIButton,Swift Material Design UIButton,344,Swift,32,https://github.com/richzertuche/ZMaterialDesignUIButton,2015-02-17 04:36:18+00:00,2024-09-10 15:01:46+00:00
siriwatknp/mui-treasury,A collection of ready-to-use components based on Material-UI,2363,TypeScript,153,https://github.com/siriwatknp/mui-treasury,2019-03-11 16:21:23+00:00,2024-09-12 10:45:19+00:00
puranjayjain/react-materialui-notifications,Spec compliant notifications for react and material ui users,251,JavaScript,36,https://github.com/puranjayjain/react-materialui-notifications,2016-06-29 07:00:51+00:00,2024-04-09 18:03:05+00:00
Aditya94A/Morphing-Material-Dialogs,Material dialog :heart: morphing animation. An android kotlin UI library for building beautiful animations for converting a floating action button into a material dialog.,894,Kotlin,64,https://github.com/Aditya94A/Morphing-Material-Dialogs,2017-08-12 12:03:04+00:00,2024-08-16 06:13:41+00:00
nadunindunil/awesome-material-ui,"A curated list of Material-UI resources and related projects. The main idea is that everyone can contribute here, so we can have a central repository of informations about Material-UI that we keep up-to-date ",224,,20,https://github.com/nadunindunil/awesome-material-ui,2019-10-26 12:27:26+00:00,2024-09-14 02:53:33+00:00
yamankatby/react-native-material,Modular and customizable Material Design UI components for React Native,228,TypeScript,38,https://github.com/yamankatby/react-native-material,2021-08-14 13:52:58+00:00,2024-09-09 07:40:13+00:00
wenzhixin/bootstrap-table,"An extended table to integration with some of the most widely used CSS frameworks. (Supports Bootstrap, Semantic UI, Bulma, Material Design, Foundation, Vue.js)",11728,JavaScript,4439,https://github.com/wenzhixin/bootstrap-table,2013-08-20 15:34:15+00:00,2024-09-14 19:05:18+00:00
TeamWertarbyte/mdi-material-ui,Material-UI SvgIcon components for Material Design Icons.,328,JavaScript,15,https://github.com/TeamWertarbyte/mdi-material-ui,2017-04-22 18:53:12+00:00,2024-09-06 18:56:05+00:00
aldabil21/react-scheduler,React scheduler component based on Material-UI & date-fns,349,TypeScript,126,https://github.com/aldabil21/react-scheduler,2021-05-06 07:32:32+00:00,2024-09-11 14:56:17+00:00
arttuka/reagent-material-ui,Reagent wrapper for MUI (formerly Material UI) v5,203,Clojure,18,https://github.com/arttuka/reagent-material-ui,2019-09-29 23:25:56+00:00,2024-08-29 09:13:01+00:00
emkay/material-ui-table-edit,Material UI Table Edit,107,JavaScript,26,https://github.com/emkay/material-ui-table-edit,2016-03-10 19:19:03+00:00,2024-07-21 19:05:05+00:00
720kb/hubuntu-ui,Material Admin Dashboard Starter UI ( Ubuntu style ) - https://720kb.github.io/hubuntu-ui/,204,HTML,50,https://github.com/720kb/hubuntu-ui,2016-02-13 13:15:27+00:00,2024-01-09 05:49:28+00:00
Ramotion/circle-menu,":octocat: ⭕️ CircleMenu is a simple, elegant UI menu with a circular layout and material design animations. Swift UI library made by @Ramotion",3438,Swift,356,https://github.com/Ramotion/circle-menu,2016-01-27 07:27:09+00:00,2024-09-09 04:48:21+00:00
hupe1980/gatsby-plugin-material-ui,Gatsby plugin for Material-UI with built-in server-side rendering support,136,JavaScript,25,https://github.com/hupe1980/gatsby-plugin-material-ui,2018-07-31 18:05:04+00:00,2024-03-15 10:57:18+00:00
techniq/mui-virtualized-table,Virtualized Material-UI table,133,JavaScript,33,https://github.com/techniq/mui-virtualized-table,2018-08-20 19:19:05+00:00,2024-05-07 06:32:54+00:00
bloomui/tokyo-free-white-react-admin-dashboard,Free React Typescript Admin Dashboard Template built with Material-UI,298,TypeScript,160,https://github.com/bloomui/tokyo-free-white-react-admin-dashboard,2021-08-03 20:17:41+00:00,2024-09-04 12:19:00+00:00
ccforward/rubik,Material Design  Vue.js UI Components,283,Vue,43,https://github.com/ccforward/rubik,2016-12-24 14:56:24+00:00,2024-08-20 05:54:09+00:00
dpcdpc11/gravit-material-ui-kit,Material Design sticker sheet for Gravit Designer,157,,22,https://github.com/dpcdpc11/gravit-material-ui-kit,2017-08-02 16:27:44+00:00,2024-07-29 17:55:22+00:00
florent37/Shrine-MaterialDesign2,implementation of Material Design 2 Shrine project,216,Kotlin,34,https://github.com/florent37/Shrine-MaterialDesign2,2018-05-16 06:00:47+00:00,2024-04-06 12:53:08+00:00
treeder/material,"material is a library of web components that helps build beautiful and accessible web applications. It uses Material 3, the latest version of Google's open-source design system.",105,JavaScript,6,https://github.com/treeder/material,2024-05-13 16:33:14+00:00,2024-09-06 17:22:06+00:00
vikignt/svelte-mui,Simple Svelte 3 UI components,318,Svelte,38,https://github.com/vikignt/svelte-mui,2019-08-07 13:17:38+00:00,2024-08-20 02:38:10+00:00
m6v3l9/react-material-admin,Free and open-source admin dashboard app made with React & Material-UI,131,TypeScript,41,https://github.com/m6v3l9/react-material-admin,2021-05-20 23:09:57+00:00,2024-08-23 17:02:09+00:00
swordev/suid,A port of Material-UI (MUI) built with SolidJS.,675,TypeScript,48,https://github.com/swordev/suid,2022-03-20 19:04:38+00:00,2024-09-15 03:14:36+00:00
joaopaulomoraes/nextjs-with-redux-and-material-ui,A boilerplate NextJS with Redux and Material UI,130,JavaScript,33,https://github.com/joaopaulomoraes/nextjs-with-redux-and-material-ui,2019-01-27 14:21:56+00:00,2024-02-16 15:21:38+00:00
gpbl/material-ui-sass,The Sass counterpart of the material-ui framework for React,129,CSS,17,https://github.com/gpbl/material-ui-sass,2014-12-02 23:16:22+00:00,2024-08-13 18:08:22+00:00
ggascoigne/react-table-example,React-Table v7 with Typescript and Material-UI,268,TypeScript,73,https://github.com/ggascoigne/react-table-example,2019-12-31 21:38:48+00:00,2024-08-27 18:59:46+00:00
TeamWertarbyte/material-ui-time-picker,A time picker for Material-UI.,127,JavaScript,20,https://github.com/TeamWertarbyte/material-ui-time-picker,2017-10-15 17:33:21+00:00,2024-03-30 11:46:21+00:00
Zaelot-Inc/ui-libraries,A collection of UI Frameworks and their platform implementations.,781,,56,https://github.com/Zaelot-Inc/ui-libraries,2019-04-30 23:17:47+00:00,2024-09-15 02:13:16+00:00
Ramotion/circle-menu-android,":octocat: ⭕️ CircleMenu is a simple, elegant UI menu with a circular layout and material design animations. Android UI library made by @Ramotion",1890,Java,269,https://github.com/Ramotion/circle-menu-android,2017-09-20 08:31:50+00:00,2024-09-11 08:19:55+00:00
creativetimofficial/ct-material-kit-pro,Premium Bootstrap 4 UI Kit based on Google's Material Design,128,,37,https://github.com/creativetimofficial/ct-material-kit-pro,2016-06-15 13:52:10+00:00,2024-04-26 09:00:14+00:00
async-labs/builderbook,"Open source web application to learn JS stack: React, Material-UI, Next.js, Node.js, Express.js, Mongoose, MongoDB database.",3760,JavaScript,891,https://github.com/async-labs/builderbook,2017-12-03 03:57:52+00:00,2024-09-12 13:12:14+00:00
dohomi/react-hook-form-mui,Material-UI form components ready to use with react-hook-form,530,JavaScript,108,https://github.com/dohomi/react-hook-form-mui,2020-05-14 02:23:14+00:00,2024-09-12 13:21:09+00:00
Ramotion/expanding-collection-android,:octocat: ExpandingCollection is a material design card peek/pop controller. Android UI Library made by @Ramotion,2021,Java,281,https://github.com/Ramotion/expanding-collection-android,2016-10-06 13:30:26+00:00,2024-08-27 14:43:36+00:00
bill-ahmed/qbit-matUI,"A material WebUI for qBittorrent, written in Angular.",323,TypeScript,25,https://github.com/bill-ahmed/qbit-matUI,2020-03-08 15:16:10+00:00,2024-09-04 23:44:05+00:00
themightykitten/ruTorrent-MaterialDesign,Flat and modern theme for the ruTorrent web ui,101,CSS,15,https://github.com/themightykitten/ruTorrent-MaterialDesign,2016-04-25 20:33:47+00:00,2024-05-04 09:31:51+00:00
StevenDXC/DxLoadingButton,Android material button with loading animation,393,Kotlin,81,https://github.com/StevenDXC/DxLoadingButton,2016-10-13 05:55:22+00:00,2024-08-09 03:18:37+00:00
JackGit/material-ui-vue,It is a materializecss.com implementation with Vue.js.,140,JavaScript,13,https://github.com/JackGit/material-ui-vue,2016-02-15 13:39:50+00:00,2023-05-15 09:31:43+00:00
trananhtuat/fullstack-kanban-app,Full Stack Kanban App | React Node MongoDB Material-UI,191,JavaScript,78,https://github.com/trananhtuat/fullstack-kanban-app,2022-07-05 10:38:38+00:00,2024-08-27 11:13:31+00:00
balmjs/balm-ui,:diamonds: A modular and customizable UI library based on Material Design and Vue,505,SCSS,31,https://github.com/balmjs/balm-ui,2016-10-17 02:43:43+00:00,2024-09-13 03:12:37+00:00
